id,datetime,vehicle_type,velocity,traffic_lane,lon,lat,kilopost,vehicle_length,detected_flag
1375,073000300,2,51.8,2,135.4697791,34.7111944,3566.7,6.5,1
1375,073000400,2,50.7,2,135.4697873,34.7111848,3565.6,6.5,1
1375,073000500,2,50.3,2,135.4697956,34.7111752,3564.2,6.5,1
1375,073000600,2,51.3,2,135.469804,34.7111654,3562.5,6.5,1
1375,073000700,2,50.3,2,135.4698127,34.7111553,3561.1,6.5,1
1375,073000800,2,50.8,2,135.4698216,34.7111449,3560.0,6.5,1
1375,073000900,2,51.7,2,135.4698308,34.7111344,3558.4,6.5,1
1375,073001000,2,50.9,2,135.4698401,34.7111237,3556.9,6.5,1
1375,073001100,2,50.0,2,135.4698495,34.711113,3555.6,6.5,1
1375,073001200,2,51.1,2,135.4698589,34.7111023,3554.1,6.5,1
1375,073001300,2,50.3,2,135.4698682,34.7110917,3552.8,6.5,1
1375,073001400,2,49.2,2,135.4698774,34.7110814,3551.2,6.5,1
1375,073001500,2,50.3,2,135.4698864,34.7110714,3550.0,6.5,1
1375,073001600,2,50.4,2,135.4698951,34.7110618,3548.6,6.5,1
1375,073001700,2,50.4,2,135.4699035,34.7110524,3546.8,6.5,0
1375,073001800,2,50.3,2,135.4699116,34.7110433,3545.9,6.5,0
1375,073001900,2,50.2,2,135.4699194,34.7110344,3544.6,6.5,0
1375,073002000,2,50.2,2,135.4699272,34.7110255,3542.7,6.5,0
1375,073002100,2,50.2,2,135.469935,34.7110166,3541.8,6.5,0
1375,073002200,2,50.1,2,135.4699425,34.711008,3540.9,6.5,0
1375,073002300,2,50.0,2,135.4699498,34.7109998,3540.0,6.5,0
1375,073002400,2,50.0,2,135.4699563,34.7109924,3532.5,6.5,0
1375,073002500,2,50.0,2,135.4699619,34.710986,3532.5,6.5,0
1375,073002600,2,49.9,2,135.4699662,34.7109808,3531.9,6.5,0
1375,073002700,2,49.8,2,135.4699692,34.7109767,3531.2,6.5,0
1375,073002800,2,49.8,2,135.4699712,34.7109735,3530.8,6.5,0
1375,073002900,2,49.8,2,135.4699728,34.7109705,3530.2,6.5,0
1375,073003000,2,49.7,2,135.4699747,34.7109669,3529.8,6.5,1
1375,073003100,2,50.0,2,135.4699776,34.7109623,3529.2,6.5,1
1375,073003200,2,50.0,2,135.4699819,34.7109563,3528.3,6.5,1
1375,073003300,2,49.9,2,135.4699876,34.7109488,3527.4,6.5,1
1375,073003400,2,49.7,2,135.4699947,34.7109401,3526.4,6.5,1
1375,073003500,2,49.7,2,135.4700029,34.7109304,3525.3,6.5,1
1375,073003600,2,49.0,2,135.470012,34.7109199,3524.0,6.5,1
1375,073003700,2,49.4,2,135.4700216,34.7109089,3522.0,6.5,1
1375,073003800,2,50.3,2,135.4700315,34.7108976,3520.4,6.5,1
1375,073003900,2,50.9,2,135.4700414,34.7108862,3518.8,6.5,1
1375,073004000,2,51.8,2,135.4700512,34.7108749,3517.3,6.5,1
1375,073004100,2,51.8,2,135.4700608,34.7108639,3516.1,6.5,1
1375,073004200,2,51.0,2,135.47007,34.7108531,3515.1,6.5,1
1375,073004300,2,51.0,2,135.470079,34.7108428,3513.3,6.5,1
1375,073004400,2,52.0,2,135.4700878,34.7108327,3511.7,6.5,1
1375,073004500,2,51.1,2,135.4700963,34.7108228,3510.1,6.5,1
1375,073004600,2,50.2,2,135.4701047,34.710813,3508.9,6.5,1
1375,073004700,2,51.4,2,135.4701131,34.7108034,3507.7,6.5,1
1375,073004800,2,50.0,2,135.4701213,34.7107937,3506.5,6.5,1
1375,073004900,2,48.8,2,135.4701295,34.7107841,3505.5,6.5,1
1375,073005000,2,49.1,2,135.4701377,34.7107746,3504.1,6.5,1
1375,073005100,2,49.8,2,135.4701458,34.7107651,3502.9,6.5,1
1375,073005200,2,49.0,2,135.4701539,34.7107557,3501.5,6.5,1
1375,073005300,2,48.0,2,135.4701621,34.7107462,3500.2,6.5,1
1376,073000000,1,40.6,1,135.4701864,34.7107755,3501.6,3.5,1
1376,073000100,1,40.7,1,135.4701944,34.7107662,3500.6,3.5,1
1377,073000000,1,42.4,2,135.469266,34.7117838,3646.6,3.5,1
1377,073000100,1,42.8,2,135.4692738,34.7117748,3645.0,3.5,1
1377,073000200,1,42.8,2,135.4692817,34.7117657,3644.2,3.5,1
1377,073000300,1,43.4,2,135.4692896,34.7117566,3642.9,3.5,1
1377,073000400,1,43.2,2,135.4692977,34.7117473,3641.8,3.5,1
1377,073000500,1,43.3,2,135.4693058,34.7117379,3640.5,3.5,1
1377,073000600,1,43.3,2,135.469314,34.7117285,3639.6,3.5,1
1377,073000700,1,43.4,2,135.4693222,34.7117191,3637.9,3.5,1
1377,073000800,1,43.8,2,135.4693304,34.7117096,3636.8,3.5,1
1377,073000900,1,44.8,2,135.4693388,34.7116999,3635.0,3.5,1
1377,073001000,1,44.6,2,135.4693474,34.71169,3633.9,3.5,1
1377,073001100,1,44.0,2,135.4693564,34.7116795,3632.9,3.5,1
1377,073001200,1,44.0,2,135.4693657,34.7116685,3631.4,3.5,1
1377,073001300,1,44.1,2,135.4693754,34.711657,3630.0,3.5,1
1377,073001400,1,44.6,2,135.4693852,34.7116452,3628.2,3.5,0
1377,073001500,1,45.0,2,135.4693951,34.7116333,3625.9,3.5,1
1377,073001600,1,45.7,2,135.4694049,34.7116216,3624.6,3.5,1
1377,073001700,1,45.9,2,135.4694145,34.7116103,3623.2,3.5,0
1377,073001800,1,46.1,2,135.4694238,34.7115995,3621.8,3.5,0
1377,073001900,1,46.3,2,135.469433,34.7115893,3620.0,3.5,0
1377,073002000,1,46.5,2,135.469442,34.7115797,3618.3,3.5,0
1377,073002100,1,46.7,2,135.4694507,34.7115706,3617.2,3.5,0
1377,073002200,1,46.9,2,135.4694592,34.7115619,3616.1,3.5,1
1377,073002300,1,47.3,2,135.4694673,34.7115535,3616.0,3.5,1
1377,073002400,1,46.5,2,135.4694752,34.7115452,3615.0,3.5,1
1377,073002500,1,46.5,2,135.4694829,34.7115369,3613.6,3.5,1
1377,073002600,1,46.3,2,135.4694905,34.7115285,3612.5,3.5,1
1377,073002700,1,45.6,2,135.4694982,34.7115198,3611.4,3.5,1
1377,073002800,1,44.8,2,135.4695059,34.7115109,3610.3,3.5,1
1377,073002900,1,45.8,2,135.4695139,34.7115017,3608.7,3.5,1
1377,073003000,1,45.8,2,135.4695219,34.7114924,3607.3,3.5,1
1377,073003100,1,46.8,2,135.4695299,34.7114829,3605.9,3.5,1
1377,073003200,1,47.8,2,135.469538,34.7114735,3604.6,3.5,1
1377,073003300,1,47.8,2,135.4695459,34.7114642,3603.2,3.5,1
1377,073003400,1,47.3,2,135.4695537,34.7114549,3602.1,3.5,1
1377,073003500,1,46.7,2,135.4695615,34.7114458,3601.1,3.5,1
1377,073003600,1,46.0,2,135.4695692,34.7114367,3600.1,3.5,1
1377,073003700,1,46.0,2,135.469577,34.7114276,3598.8,3.5,1
1377,073003800,1,45.8,2,135.4695848,34.7114185,3597.2,3.5,1
1377,073003900,1,45.8,2,135.4695926,34.7114093,3595.8,3.5,1
1377,073004000,1,46.6,2,135.4696005,34.7114001,3594.4,3.5,1
1377,073004100,1,46.8,2,135.4696085,34.711391,3593.3,3.5,1
1377,073004200,1,46.6,2,135.4696164,34.7113818,3592.0,3.5,1
1377,073004300,1,46.4,2,135.4696243,34.7113728,3591.0,3.5,1
1377,073004400,1,45.5,2,135.4696322,34.7113637,3590.0,3.5,1
1377,073004500,1,45.5,2,135.4696401,34.7113546,3588.5,3.5,1
1377,073004600,1,45.8,2,135.4696481,34.7113455,3587.0,3.5,1
1377,073004700,1,45.8,2,135.4696562,34.7113362,3585.5,3.5,1
1377,073004800,1,45.6,2,135.4696645,34.7113268,3584.3,3.5,1
1377,073004900,1,46.5,2,135.4696728,34.7113172,3583.1,3.5,1
1377,073005000,1,46.5,2,135.4696813,34.7113075,3581.8,3.5,1
1377,073005100,1,46.1,2,135.4696897,34.7112978,3580.5,3.5,1
1377,073005200,1,46.7,2,135.4696981,34.7112881,3579.5,3.5,1
